상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9788937460586,S000000620195,싯다르타,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20020120,소설
9791124137635,S000220693844,한국사 이상현상 연구원(일반판),"22,000","19,800",10%,5%,"1,100",최인서,다이브,20260831,소설
9791194891178,S000220587963,빵충 사육 준수 사항,"16,800","15,120",10%,5%,840,김혜영,안전가옥,20260722,소설
9791175772892,S000220307771,테오,"21,000","18,900",10%,5%,"1,050",앨런 레비,오팬하우스,20260701,소설
9791198547514,S000211748790,수족관,"17,700","15,930",10%,5%,880,유래혁,포스터샵,20240111,소설
9791169087520,S000221141797,녹색 절벽의 신자들,"19,000","17,100",10%,5%,950,조예은,오리지널스,20260908,소설
9788998441012,S000001632467,모순,"13,000","11,700",10%,5%,650,양귀자,쓰다,20130401,소설
9791167141637,S000220937605,서리꽃 세트,"40,000","36,000",10%,5%,"2,000",조정래,해냄출판사,20260824,소설
9788937460449,S000000620181,데미안,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20090120,소설
9788937461798,S000000620316,브람스를 좋아하세요,"10,000","9,000",10%,5%,500,프랑수아즈 사강,민음사,20080502,소설
9791170614043,S000220515357,투명한 나선,"22,000","19,800",10%,5%,"1,100",히가시노 게이고,북다,20260713,소설
9788925588735,S000000479333,프로젝트 헤일메리,"22,000","19,800",10%,5%,"1,100",앤디 위어,알에이치코리아,20260219,소설
9788937443848,S000000619973,이방인,"10,000","9,000",10%,5%,500,알베르 카뮈,민음사,20190902,소설
9791141602376,S000216796615,안녕이라 그랬어,"16,800","15,120",10%,5%,840,김애란,문학동네,20250620,소설
9788936439996,S000220806975,찌니주의보,"16,800","15,120",10%,5%,840,정지아,창비,20260817,소설
9791141602451,S000217503188,절창(화이트 에디션),"18,000","16,200",10%,5%,900,구병모,문학동네,20250917,소설
9788937464690,S000218858335,악수도 없이 헤어졌다,"15,000","13,500",10%,5%,750,피천득,민음사,20251212,소설
9788937460883,S000000620225,오만과 편견,"13,000","11,700",10%,5%,650,제인 오스틴,민음사,20090120,소설
9788937461033,S000000620240,인간 실격,"9,000","8,100",10%,5%,450,다자이 오사무,민음사,20120410,소설
9788937473401,S000200550189,급류,"14,000","12,600",10%,5%,700,정대건,민음사,20221222,소설
9788932909349,S000000581291,그리스인 조르바,"14,800","13,320",10%,5%,740,니코스 카잔차키스,열린책들,20091220,소설
