단어,평균_TFIDF
에디션,0.0193295947949558
리커버,0.013861054019662453
기념,0.01271129530115793
위한,0.012087338222571842
해커스,0.012071709062600506
토익,0.010950438946306904
스페셜,0.009901442081387362
나는,0.009786269041004894
내가,0.00945416522537905
대하여,0.008821625634505531
트렌드,0.008454665398458463
않는다,0.007975582791359622
싶은,0.00786510995389822
lc,0.007707104780144157
rc,0.007707104780144157
2025,0.0073819329851474765
2026,0.007214173509485828
필사,0.007123619149745457
흔한남매,0.006835106679835294
기술,0.006835106679835294
어떻게,0.006805909325988608
일본어,0.006584735108936856
30만,0.006491998100213059
너를,0.006483243287850398
돈의,0.006481243828585598
없는,0.006414063801173496
초역,0.006379243475580542
부처의,0.006379243475580542
voca,0.006353751371374747
국민이,0.006243496407525587
