customer_id,order_count,total_sales,city
117,5,4100000,성남
102,4,3996000,고양
83,4,3880000,수원
30,5,3590000,서울
40,4,3523000,서울
20,2,3191000,인천
3,2,3178000,성남
111,3,3153000,광주
66,4,3093000,서울
147,2,2990000,부산
18,3,2960000,고양
105,3,2837000,광주
38,2,2834000,울산
60,2,2812000,성남
24,4,2419000,대전
56,3,2411000,인천
32,2,2389000,고양
106,2,2343000,부산
128,2,2330000,고양
107,2,2325000,고양
135,2,2170000,대구
37,2,2122000,고양
65,3,2107000,인천
16,2,2058000,부산
87,2,2022000,울산
5,2,2004000,부산
126,3,1961000,서울
114,3,1956000,성남
130,2,1942000,대전
23,1,1931000,대전
33,2,1913000,수원
43,1,1863000,고양
90,3,1831000,울산
78,3,1829000,울산
63,2,1675000,대전
144,1,1626000,광주
77,2,1625000,서울
50,2,1620000,광주
108,3,1591000,성남
47,3,1587000,울산
13,1,1549000,울산
8,2,1532000,수원
104,2,1496000,광주
125,2,1470000,수원
93,2,1460000,대전
121,2,1445000,서울
123,1,1436000,서울
137,2,1395000,울산
6,2,1349000,성남
39,1,1298000,대구
149,1,1295000,부산
141,1,1241000,광주
41,1,1229000,대구
84,1,1197000,성남
7,1,1173000,인천
115,1,1173000,부산
129,1,1142000,대구
9,2,1132000,서울
133,1,1098000,성남
119,1,1064000,대전
58,1,1059000,성남
145,3,1032000,성남
140,2,1029000,인천
124,2,1000000,대구
146,1,1000000,성남
76,1,996000,울산
116,2,937000,부산
70,1,924000,성남
103,1,923000,인천
14,1,905000,대전
98,2,898000,인천
28,1,881000,성남
27,2,862000,수원
99,1,860000,고양
55,1,837000,광주
110,1,804000,부산
95,1,760000,성남
26,1,735000,대구
122,2,734000,울산
68,2,643000,서울
4,1,603000,울산
113,1,579000,성남
86,1,569000,수원
21,1,526000,인천
22,1,512000,광주
36,1,471000,성남
91,2,456000,인천
12,1,396000,대전
71,1,394000,수원
138,1,350000,대구
118,1,344000,광주
31,1,306000,광주
62,1,292000,광주
148,1,271000,고양
92,1,267000,서울
49,1,262000,대구
15,1,252000,서울
69,2,130000,서울
80,1,118000,인천
112,2,112000,성남
